Date,Open,High,Low,Close,Adj Close,Volume
3/28/2017,313.007019,315.394257,310.895203,312.869293,304.565186,2273422
3/29/2017,314.476105,318.056976,313.282471,316.63382,308.229797,9644521
3/30/2017,316.63382,323.566071,314.200653,322.464233,313.905457,4265079
3/31/2017,321.362427,323.474243,316.771545,321.408325,312.877594,5680716
4/3/2017,317.689728,317.689728,308.737488,313.833374,305.503693,7198764
4/5/2017,314.889282,318.837433,311.354279,316.312439,307.916931,4607243
4/6/2017,314.935181,314.935181,309.97702,313.833374,305.503693,2367916
4/7/2017,315.899261,321.775604,313.787445,316.496094,308.095673,6230255
4/10/2017,319.801514,319.893341,314.062897,317.414276,308.989532,1504194
4/11/2017,314.935181,326.641968,314.797455,321.546051,313.011627,2284661
4/12/2017,318.60788,324.943329,317.092896,322.096985,313.547974,2482627
4/13/2017,321.362427,324.57605,311.492004,312.410187,304.118256,6434183
4/17/2017,314.751556,315.210632,310.711548,313.374268,305.056732,2050731
4/18/2017,312.180634,315.256531,308.783386,311.078827,302.822235,6057155
4/19/2017,311.62973,313.787445,305.523865,312.134735,303.850128,2728188
4/20/2017,314.016998,315.669708,310.390198,314.705627,306.352753,2058528
4/21/2017,314.016998,317.689728,312.456085,314.751556,306.397522,1472524
4/24/2017,315.853363,318.102905,310.941101,316.450165,308.051056,1460191
4/25/2017,314.935181,330.360565,313.466095,324.989227,316.363434,4659584
4/26/2017,324.989227,330.54422,323.198792,328.294678,319.581177,3212025
4/27/2017,325.264679,332.334656,324.805603,328.616028,319.893982,4886630
4/28/2017,326.22876,328.616028,321.821533,326.412415,317.74884,2930668
5/2/2017,326.412415,326.825592,318.332428,319.158813,310.687775,2391173
5/3/2017,319.617889,321.362427,315.715637,318.011078,309.570526,2568622
5/4/2017,318.332428,322.647888,315.577911,317.689728,309.25766,1321097
5/5/2017,318.102905,320.444244,315.072906,316.541992,308.140411,1677040
5/8/2017,316.541992,326.182861,316.128815,322.556061,313.994873,2901473
5/9/2017,321.362427,322.280609,315.486084,317.001068,308.587311,3069036
5/10/2017,308.96701,349.275055,308.96701,342.250977,333.167053,26586687
5/11/2017,339.725983,340.506439,332.793762,336.053284,327.13382,7911161
5/12/2017,332.610107,340.001465,331.921478,335.226929,326.329407,3995492
5/15/2017,336.053284,339.680084,331.829651,334.354645,325.480286,4056028
5/16/2017,335.961456,346.750061,335.548279,343.720062,334.597107,6381015
5/17/2017,340.82782,349.734131,340.82782,345.189148,336.027222,5735161
5/18/2017,343.12326,350.376862,338.440552,340.414642,331.379456,3615826
5/19/2017,342.48053,348.4487,338.027374,342.250977,333.167053,5915009
5/22/2017,343.398712,347.622345,341.011444,342.067352,332.988281,2981350
5/23/2017,341.608276,345.4646,340.644165,341.470551,332.407349,6332437
5/24/2017,337.889648,342.48053,335.731934,338.210999,329.234314,7562029
5/25/2017,336.971466,345.556427,331.232849,340.368713,331.334747,15443478
5/26/2017,338.807831,349.320953,338.348724,343.031433,333.926788,3113180
5/29/2017,344.041443,347.897797,337.797821,342.572357,333.479889,2174041
5/30/2017,344.13324,345.969604,339.129181,340.368713,331.334747,2132776
5/31/2017,343.398712,346.061432,337.935547,341.14917,332.094482,16773029
6/1/2017,339.725983,342.847809,335.915558,336.879639,327.938232,2422144
6/2/2017,340.460541,350.147308,339.542358,342.710083,333.613953,5641953
6/5/2017,342.664154,346.887787,340.965546,341.929626,332.854156,2540490
6/6/2017,339.725983,342.021454,336.971466,338.807831,329.815277,3599287
6/7/2017,342.893707,344.546448,340.644165,342.296906,333.211731,4228349
6/8/2017,342.434631,343.674164,336.696014,337.614197,328.653351,3787426
6/9/2017,337.660095,340.735992,336.282837,337.705994,328.742676,3145951
6/12/2017,336.879639,341.378723,333.803741,335.318756,326.418823,2416992
6/13/2017,334.216919,338.348724,332.472382,333.482391,324.631165,1234457
6/14/2017,333.757843,338.394623,331.967377,335.594208,326.686951,2295533
6/15/2017,335.594208,340.185089,334.630096,335.410553,326.508148,2771124
6/16/2017,336.053284,337.430542,331.095123,334.997375,326.105957,4870811
6/19/2017,334.216919,338.578278,333.52829,337.430542,328.474548,1853313
6/20/2017,338.578278,340.506439,335.82373,336.604187,327.670135,2506870
6/21/2017,336.420563,338.073273,334.676025,337.246918,328.295807,2891476
6/22/2017,337.660095,338.761902,332.839661,336.236908,327.312561,6884094
6/23/2017,335.961456,338.394623,333.52829,336.236908,327.312561,5576341
6/27/2017,335.135101,345.14325,335.135101,341.057343,332.005096,4149019
6/28/2017,344.225067,350.42276,337.430542,346.336884,337.14447,4132340
6/29/2017,346.841888,354.73822,346.795959,351.157318,341.836975,4611430
