Date ,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
10-Jan-22,3978,3978,3861,3884,3879.85,247085,15346166150
7-Jan-22,3820,3864.9,3796.4,3858.9,3853.5,157006,9446283702
6-Jan-22,3812,3835,3772,3809.95,3807.45,135529,6884500150
5-Jan-22,3865,3870,3812.4,3856,3860.95,136018,6668131688
4-Jan-22,3831.1,3889.15,3811.7,3878.7,3884.75,141253,9604274014
3-Jan-22,3750,3830,3745,3815,3817.75,143798,8932827981
31-Dec-21,3742.8,3760,3731.3,3740,3738.35,101227,4520149056
30-Dec-21,3681.35,3740,3680,3737,3733.75,105274,7326133568
29-Dec-21,3692.25,3719.95,3685,3688.05,3694.7,94120,5397758672
28-Dec-21,3710,3725,3693.85,3706.95,3706.55,83968,5407012571
27-Dec-21,3671,3700,3653.1,3696.5,3696.1,80828,5652764172
24-Dec-21,3685,3705,3644.8,3671,3670.9,88664,8117727562
23-Dec-21,3648,3670.5,3630,3660.65,3662.7,98445,6555623174
22-Dec-21,3624,3636.8,3606.25,3628.3,3630.75,102255,4439223317
21-Dec-21,3582.65,3641.2,3566.4,3611,3608.3,118423,8467877602
20-Dec-21,3589,3606,3510.15,3559.3,3556.9,146094,8253261975
17-Dec-21,3602.5,3651.35,3573.7,3574.9,3584.35,213460,15640958964
16-Dec-21,3582,3608.45,3570,3585,3581.6,93950,7425032319
15-Dec-21,3620,3623,3558.15,3571,3570.35,109534,5731595940
14-Dec-21,3605,3635,3576.7,3619.95,3623.8,105436,6320734400
13-Dec-21,3650,3662,3601.7,3615,3609.65,93875,6832065638
10-Dec-21,3585,3642,3575.1,3630,3636.8,69648,5455578667
9-Dec-21,3610,3634.75,3566,3600,3601.75,100995,5634666502
8-Dec-21,3601,3646.45,3601,3624,3626.9,88625,5187489132
7-Dec-21,3562.5,3598,3524.3,3589.9,3584.5,107141,5303328386
6-Dec-21,3640.45,3658,3522,3533.8,3536.4,117199,6632172778
3-Dec-21,3646.45,3665.95,3630.85,3641,3640.45,136470,9061499107
2-Dec-21,3589.2,3648,3574.1,3637,3642.9,146031,11395387803
1-Dec-21,3535,3590,3535,3581,3577.8,177235,7501467335
30-Nov-21,3491,3563.75,3491,3535,3529.15,208979,19757846113
29-Nov-21,3447.15,3529.35,3406.45,3503.5,3502,206893,10407130645
26-Nov-21,3425,3490,3411.9,3439.2,3446.85,156945,6705853481
25-Nov-21,3443.9,3463,3434.05,3450,3445.9,102359,6384030189
24-Nov-21,3472.2,3493.05,3424,3431.95,3443.3,163891,7500832834
23-Nov-21,3445,3480.95,3407.8,3472,3464.25,160137,7440308037
22-Nov-21,3478.4,3515.95,3440.3,3463.75,3458.4,169460,11032349106
18-Nov-21,3515.15,3520.85,3451.6,3471.95,3475.7,135284,7432143867
17-Nov-21,3550.6,3562.85,3506.4,3520.8,3521.9,126358,5770466507
16-Nov-21,3569,3575.55,3542,3548,3556.4,105284,7168605744
15-Nov-21,3528,3569.6,3528,3550,3553.3,113981,6430484085
12-Nov-21,3506,3534.15,3485.7,3524,3526.05,98323,6132048786
11-Nov-21,3480,3510.05,3436,3505,3488.2,98386,4450347032
